maternal_health_delivery_services,facility_type_display,management,emergency_transport,skilled_birth_attendant,phcn_electricity,c_section_yn,child_health_measles_immun_calc,improved_water_supply,improved_sanitation,vaccines_fridge_freezer,antenatal_care_yn,family_planning_yn,malaria_treatment_artemisinin,num_chews_fulltime,num_nurses_fulltime,num_nursemidwives_fulltime,num_doctors_fulltime,latitude,longitude
TRUE,Primary Health Centre (PHC),public,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,2,1,1,0,7.2966,9.2094
TRUE,General Hospital,private,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,2,0,3,1,7.61890233,5.20581553
TRUE,Basic Health Centre / Primary Health Clinic,public,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,2,6,13,2,4.9145,7.1289
TRUE,Primary Health Centre (PHC),public,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,7,2,6,1,4.97592496,7.02156705
FALSE,Health Post,public,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,2,0,0,0,4.80622974,6.48320882
TRUE,Primary Health Centre (PHC),private,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,0,6,5,2,4.9607573,7.02150486
TRUE,Specialist Hospital,private,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,3,8,4,10,4.84124145,7.03382825
TRUE,Primary Health Centre (PHC),public,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,11,0,1,1,4.9844,6.8204
FALSE,Health Post,public,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,1,0,0,0,4.88541671,6.45251589
FALSE,Health Post,public,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,3,0,0,0,4.79882232,6.5161074
TRUE,Basic Health Centre / Primary Health Clinic,private,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,3,1,0,1,9.78875895,8.86023068
FALSE,Health Post,public,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,2,0,0,0,4.82335595,6.513481
TRUE,Primary Health Centre (PHC),private,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,0,3,3,2,4.92976189,6.27040492
FALSE,Primary Health Centre (PHC),public,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,3,0,0,0,4.89901392,6.26464376
FALSE,Primary Health Centre (PHC),public,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,3,0,0,0,4.90746717,6.26159522
TRUE,Primary Health Centre (PHC),public,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,2,5,2,2,4.84984167,6.99083305
TRUE,Primary Health Centre (PHC),private,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,5,10,5,5,4.83382612,7.03356873
TRUE,Basic Health Centre / Primary Health Clinic,private,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,1,0,0,0,8.61313878,9.28704644
FALSE,Health Post,public,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,1,0,13,6,4.79494835,6.97702696
FALSE,Health Post,private,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2,0,0,0,7.50247938,9.07281556
TRUE,Health Post,private,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,2,0,1,0,7.24426249,9.19923545
TRUE,Basic Health Centre / Primary Health Clinic,private,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,0,7,2,1,5.785403333,7.032181667
TRUE,Basic Health Centre / Primary Health Clinic,private,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,0,2,1,1,5.80619,7.011616667
TRUE,Primary Health Centre (PHC),public,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,0,0,0,0,5.809308333,6.996118333
TRUE,Basic Health Centre / Primary Health Clinic,private,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,1,5,1,1,5.771588333,6.991565
FALSE,Primary Health Centre (PHC),public,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,2,0,0,0,4.91889213,6.25454593
TRUE,Primary Health Centre (PHC),public,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,5,0,1,0,5.63702991,7.31555006
TRUE,Specialist Hospital,private,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,2,12,15,2,4.85739755,7.16092918
TRUE,Primary Health Centre (PHC),public,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,,TRUE,TRUE,TRUE,6,0,4,0,4.81377675,6.08110031
FALSE,Health Post,public,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,4.82481467,6.2116035
TRUE,Basic Health Centre / Primary Health Clinic,faith_based,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,9,0,2,3,9.72563435,8.797862
TRUE,Primary Health Centre (PHC),public,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,2,2,2,0,9.87965484,8.88687306
TRUE,Primary Health Centre (PHC),public,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,1,0,1,0,9.72925569,8.79132159
TRUE,Primary Health Centre (PHC),public,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,2,3,3,0,9.7208758,8.84309029
TRUE,Specialist Hospital,private,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,1,8,3,2,4.8762676,7.12261717
TRUE,Specialist Hospital,private,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,1,1,3,1,4.85140597,7.19473593
TRUE,Specialist Hospital,private,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,5,11,12,1,4.87245343,7.1300778
TRUE,Basic Health Centre / Primary Health Clinic,private,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,0,5,8,1,4.85738188,7.16631823
TRUE,Specialist Hospital,private,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,0,3,1,0,4.84803667,7.22355941
TRUE,Specialist Hospital,private,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,1,2,6,2,9.87713526,8.87342848
FALSE,Basic Health Centre / Primary Health Clinic,private,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,3,0,0,0,8.78788376,9.29751665
TRUE,Health Post,private,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,4,0,0,0,7.463262,9.14097785
FALSE,Basic Health Centre / Primary Health Clinic,public,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,1,0,0,0,8.91157078,9.28551882
TRUE,Basic Health Centre / Primary Health Clinic,private,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,3,2,0,0,7.24943805,9.20052048
TRUE,Health Post,private,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,3,0,0,0,7.11882853,9.26745666
TRUE,Basic Health Centre / Primary Health Clinic,private,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,1,3,3,0,7.24504262,9.2038101
FALSE,Health Post,private,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,1,0,0,0,7.24692789,9.20454359
FALSE,Health Post,public,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,2,1,0,0,7.87234216,9.77409989
TRUE,Basic Health Centre / Primary Health Clinic,private,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,2,0,0,0,8.94767077,9.2419165
TRUE,Primary Health Centre (PHC),public,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,2,0,0,0,8.09452802,10.06974923
TRUE,Dispensary,public,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,5,0,1,0,8.17377445,10.1534614
TRUE,Primary Health Centre (PHC),public,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,2,1,2,0,8.71686101,9.3006715
TRUE,Primary Health Centre (PHC),public,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,3,1,1,0,9.13351603,9.00249383
FALSE,Dispensary,public,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,1,0,0,0,12.6993,7.9566
FALSE,Dispensary,public,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,1,0,0,0,12.7335,7.9022
FALSE,Dispensary,public,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,1,0,0,0,12.63260934,7.89791474
FALSE,Dispensary,public,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,1,0,0,0,12.6684,7.844
FALSE,Dispensary,public,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,1,0,0,0,12.7732,7.8872
FALSE,Dispensary,public,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,1,0,0,0,12.7893,7.89
FALSE,Dispensary,public,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,1,0,0,0,12.8096,7.89
FALSE,Dispensary,public,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,0,0,0,12.7742,7.8475
FALSE,Dispensary,public,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,0,0,0,12.81083367,7.79987424
FALSE,Dispensary,public,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,0,0,0,12.77025124,7.79817632
FALSE,Dispensary,public,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,1,0,0,0,12.72148779,7.79722081
FALSE,Primary Health Centre (PHC),public,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,4,0,0,0,12.7508,7.8225
FALSE,Dispensary,public,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,1,0,0,0,12.7221,7.83
FALSE,Dispensary,public,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,0,0,0,12.70835792,7.81423209
FALSE,Dispensary,public,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,0,0,0,12.677,7.8688
FALSE,Dispensary,public,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,0,0,0,12.6886,7.8664
FALSE,Dispensary,public,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,0,0,0,12.6886,7.8527
FALSE,Dispensary,public,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,0,0,0,12.7022,7.8577
FALSE,Dispensary,public,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,2,0,0,0,12.65432474,7.94680096
FALSE,Dispensary,public,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,1,0,0,0,12.61255222,7.99018563
FALSE,Dispensary,public,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2,0,0,0,12.613,7.9623
FALSE,Dispensary,public,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,0,0,0,12.58164437,7.97141815
FALSE,Dispensary,public,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2,0,0,0,12.57727897,7.90957417
TRUE,Primary Health Centre (PHC),public,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,4,0,0,0,12.60699234,7.91258818
FALSE,Dispensary,public,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,1,0,0,0,12.62001522,7.86750386
TRUE,Dispensary,public,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,1,0,0,0,12.6537,7.9194
FALSE,Dispensary,public,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,2,0,0,0,12.6701246,7.8040845
FALSE,Dispensary,public,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,1,0,0,0,12.6462,7.8121
FALSE,Dispensary,public,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,1,0,0,0,12.6471,7.7989
TRUE,Primary Health Centre (PHC),public,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,15,1,3,2,4.80483664,6.98952394
TRUE,General Hospital,public,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,10,,,2,7.87340912,9.76688713
TRUE,Basic Health Centre / Primary Health Clinic,private,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,1,0,1,0,7.87035446,9.76734779
TRUE,Basic Health Centre / Primary Health Clinic,public,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,5,0,0,0,8.10173315,10.06846449
TRUE,Primary Health Centre (PHC),public,FALSE,,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,6,,,,7.88233704,9.79535073
FALSE,Specialist Hospital,private,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,0,7,2,2,5.48808635,7.037542409
FALSE,Specialist Hospital,private,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,0,2,0,2,4.79394171,7.04343589
TRUE,Basic Health Centre / Primary Health Clinic,public,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,2,0,0,0,7.3794,11.2438
TRUE,Basic Health Centre / Primary Health Clinic,public,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,6,0,0,0,7.5092,11.3645
TRUE,Basic Health Centre / Primary Health Clinic,public,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,4,0,0,0,7.504,11.361
FALSE,Basic Health Centre / Primary Health Clinic,faith_based,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,3,0,0,0,7.4975,11.3485
TRUE,General Hospital,private,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,2,8,1,7,4.75466831,7.03897285
TRUE,Primary Health Centre (PHC),faith_based,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,1,0,0,0,8.89078029,11.28299798
TRUE,Dispensary,public,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,1,0,0,0,8.84406971,11.00897952
TRUE,Health Post,public,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,3,2,0,0,8.69788979,11.26180267
TRUE,Basic Health Centre / Primary Health Clinic,private,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,5,0,0,0,8.9112485,11.3194156
TRUE,Primary Health Centre (PHC),public,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,5,2,0,0,5.08066335,6.25488524
TRUE,Primary Health Centre (PHC),public,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,7,0,4,0,5.17280904,6.30028908
TRUE,General Hospital,public,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,0,6,6,1,5.17259701,6.29623607
TRUE,Information not available / Don't know,public,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,0,1,3,1,4.97675836,5.74069272
,Primary Health Centre (PHC),public,FALSE,,FALSE,,,FALSE,FALSE,,,,,,,,,5.12415343,5.91788618
TRUE,Primary Health Centre (PHC),public,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,3,0,0,0,5.12887256,5.39076588
,Primary Health Centre (PHC),public,FALSE,,TRUE,,,FALSE,TRUE,,,,,,,,,4.72926969,6.29871043
,Primary Health Centre (PHC),public,FALSE,FALSE,TRUE,,,TRUE,TRUE,,,,,0,0,0,0,4.76152138,6.29137374
TRUE,Primary Health Centre (PHC),public,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,3,0,0,0,7.28221103,7.68608653
TRUE,Basic Health Centre / Primary Health Clinic,public,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,2,0,0,0,7.19874695,7.52560287
TRUE,Primary Health Centre (PHC),public,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,1,1,0,0,7.11242783,7.57161693
TRUE,Primary Health Centre (PHC),public,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,2,0,0,0,7.07526294,7.51794011
TRUE,Primary Health Centre (PHC),public,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,2,0,0,0,7.1387302,7.45015892
TRUE,Primary Health Centre (PHC),public,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,1,0,0,0,7.22612751,7.42692052
TRUE,Primary Health Centre (PHC),public,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,1,0,0,0,7.22623692,7.44749417
TRUE,Primary Health Centre (PHC),public,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,1,0,0,0,7.17412304,7.48487682
